GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2018100800,2018-10-08,1,10,45,NO,WAS,1,2,98,,1,,0,"(10:45) 22-M.INGRAM LEFT GUARD FOR 2 YARDS, TOUCHDOWN.",0,,,2018,2,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,2,OPP,0,,0,,0
2018101100,2018-10-11,4,8,7,NYG,PHI,1,10,66,,0,,0,"(8:07) (NO HUDDLE, SHOTGUN) 22-W.GALLMAN LEFT GUARD TO PHI 30 FOR 4 YARDS (90-T.HESTER, 55-B.GRAHAM).",0,,,2018,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,34,OPP,0,,0,,0
2018101401,2018-10-14,3,6,14,CIN,PIT,2,8,30,,0,,0,(6:14) 28-J.MIXON LEFT GUARD TO CIN 28 FOR -2 YARDS (90-T.WATT; 91-S.TUITT).,0,,,2018,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0
2018101402,2018-10-14,1,8,1,CLE,LAC,2,10,60,,0,,0,(8:01) 34-C.HYDE RIGHT GUARD TO LAC 38 FOR 2 YARDS (52-D.PERRYMAN; 98-I.ROCHELL).,0,,,2018,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,40,OPP,0,,0,,0
2018101402,2018-10-14,1,7,4,LAC,CLE,1,10,4,,0,,0,(7:04) 28-M.GORDON LEFT GUARD TO LAC 8 FOR 4 YARDS (90-E.OGBAH).,0,,,2018,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,4,OWN,0,,0,,0
2018101402,2018-10-14,2,12,8,LAC,CLE,2,5,30,,1,,0,(12:08) 28-M.GORDON RIGHT TACKLE TO LAC 43 FOR 13 YARDS (23-D.RANDALL).,0,,,2018,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,30,OWN,0,,0,,0
2018101402,2018-10-14,2,11,31,LAC,CLE,1,10,43,,0,,0,(11:31) (SHOTGUN) 28-M.GORDON RIGHT TACKLE TO 50 FOR 7 YARDS (21-D.WARD).,0,,,2018,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,43,OWN,0,,0,,0
2018101407,2018-10-14,3,8,54,SEA,OAK,1,10,20,,0,,0,(8:54) (SHOTGUN) 74-G.FANT REPORTED IN AS ELIGIBLE.  32-C.CARSON RIGHT GUARD TO SEA 25 FOR 5 YARDS (54-E.LAMUR).,0,,,2018,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,20,OWN,0,,0,,0
2018101407,2018-10-14,3,8,6,SEA,OAK,1,10,33,,0,,0,(8:06) 74-G.FANT REPORTED IN AS ELIGIBLE.  32-C.CARSON LEFT GUARD TO SEA 38 FOR 5 YARDS (54-E.LAMUR).,0,,,2018,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0
2018101407,2018-10-14,3,6,49,SEA,OAK,1,10,48,,0,,0,(6:49) 27-M.DAVIS LEFT END PUSHED OB AT SEA 47 FOR -1 YARDS (20-D.WORLEY).,0,,,2018,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,48,OWN,0,,0,,0
2018101407,2018-10-14,3,5,21,OAK,SEA,1,10,17,,0,,0,(5:21) 24-M.LYNCH LEFT GUARD TO OAK 23 FOR 6 YARDS (93-B.JACKSON).,0,,,2018,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,17,OWN,0,,0,,0
2018101412,2018-10-14,3,6,14,KC,NE,4,1,46,,1,,0,(6:14) (SHOTGUN) 15-P.MAHOMES RIGHT TACKLE TO KC 49 FOR 3 YARDS (31-J.JONES).,0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,46,OWN,0,,0,,0
2018101412,2018-10-14,3,5,42,KC,NE,1,10,49,,1,,0,(5:42) (SHOTGUN) 27-K.HUNT UP THE MIDDLE PUSHED OB AT NE 20 FOR 31 YARDS (21-D.HARMON).,0,,,2018,31,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,49,OWN,0,,0,,0
2018101412,2018-10-14,3,5,11,KC,NE,1,10,80,,0,,0,(5:11) (SHOTGUN) 32-S.WARE UP THE MIDDLE TO NE 16 FOR 4 YARDS (52-E.ROBERTS).,0,,,2018,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,20,OPP,0,,0,,0
2018101412,2018-10-14,3,3,36,NE,KC,1,10,25,,1,,0,(3:36) 28-J.WHITE LEFT GUARD TO NE 36 FOR 11 YARDS (53-A.HITCHENS).,0,,,2018,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0
2018102100,2018-10-21,2,14,19,TEN,LAC,1,10,77,,0,,0,(14:19) 22-D.HENRY LEFT TACKLE TO LAC 22 FOR 1 YARD (52-D.PERRYMAN).,0,,,2018,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,23,OPP,0,,0,,0
2018102100,2018-10-21,2,13,43,TEN,LAC,2,9,78,,0,,0,(13:43) (SHOTGUN) 22-D.HENRY LEFT GUARD TO LAC 15 FOR 7 YARDS (52-D.PERRYMAN).,0,,,2018,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,22,OPP,0,,0,,0
2018102100,2018-10-21,2,12,45,LAC,TEN,1,10,18,,0,,0,"(12:45) 30-A.EKELER RIGHT GUARD TO LAC 20 FOR 2 YARDS (96-B.LOGAN, 58-H.LANDRY).",0,,,2018,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,18,OWN,0,,0,,0
2018102102,2018-10-21,1,4,41,CHI,NE,2,10,69,,0,,0,(4:41) (SHOTGUN) 29-T.COHEN LEFT GUARD TO NE 28 FOR 3 YARDS (98-T.FLOWERS; 52-E.ROBERTS).,0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,31,OPP,0,,0,,0
2018102105,2018-10-21,4,14,14,KC,CIN,2,10,65,,1,,0,(14:14) 27-K.HUNT LEFT END PUSHED OB AT CIN 19 FOR 16 YARDS (22-W.JACKSON).,0,,,2018,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,35,OPP,0,,0,,0
2018102105,2018-10-21,4,13,20,KC,CIN,1,10,90,,0,,0,"(13:20) (SHOTGUN) 27-K.HUNT RIGHT END TO CIN 7 FOR 3 YARDS (50-J.EVANS). PENALTY ON CIN-36-S.WILLIAMS, UNNECESSARY ROUGHNESS, 4 YARDS, ENFORCED AT CIN 7.",0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,RIGHT END,10,OPP,1,CIN,0,UNNECESSARY ROUGHNESS,4
2018102106,2018-10-21,2,7,33,DET,MIA,1,10,25,,0,,0,(7:33) (SHOTGUN) 33-K.JOHNSON LEFT END TO DET 25 FOR NO GAIN (55-J.BAKER).,0,,,2018,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0
2018102106,2018-10-21,2,4,12,DET,MIA,1,10,52,,0,,0,(4:12) (SHOTGUN) 33-K.JOHNSON UP THE MIDDLE TO MIA 44 FOR 4 YARDS (28-B.MCCAIN).,0,,,2018,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,48,OPP,0,,0,,0
2018102106,2018-10-21,2,2,43,DET,MIA,1,10,65,,1,,0,(2:43) 29-L.BLOUNT RIGHT GUARD TO MIA 23 FOR 12 YARDS (20-R.JONES).,0,,,2018,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,35,OPP,0,,0,,0
2018102106,2018-10-21,3,8,32,MIA,DET,1,10,25,,0,,0,(8:32) (SHOTGUN) 21-F.GORE UP THE MIDDLE TO MIA 28 FOR 3 YARDS (40-J.DAVIS; 95-R.OKWARA).,0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,25,OWN,0,,0,,0
2018102106,2018-10-21,3,7,15,MIA,DET,2,10,46,,1,,0,"(7:15) 32-K.DRAKE LEFT TACKLE FOR 54 YARDS, TOUCHDOWN.",0,,,2018,54,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,46,OWN,0,,0,,0
2018102802,2018-10-28,3,4,8,CHI,NYJ,1,10,68,,0,,0,(4:08) (SHOTGUN) 24-J.HOWARD LEFT GUARD TO NYJ 29 FOR 3 YARDS (96-H.ANDERSON).,0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,32,OPP,0,,0,,0
2018102803,2018-10-28,3,1,20,TB,CIN,1,10,37,,1,,0,(1:20) 25-P.BARBER LEFT GUARD TO CIN 47 FOR 16 YARDS (30-J.BATES).,0,,,2018,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,37,OWN,0,,0,,0
2018102805,2018-10-28,1,7,43,DEN,KC,3,1,99,,1,,0,"(7:43) 30-P.LINDSAY UP THE MIDDLE FOR 1 YARD, TOUCHDOWN.",0,,,2018,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,CENTER,1,OPP,0,,0,,0
2018102805,2018-10-28,3,0,15,DEN,KC,3,7,93,,0,,0,(:15) (SHOTGUN) 23-D.BOOKER UP THE MIDDLE TO KC 4 FOR 3 YARDS (24-J.LUCAS).,0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,7,OPP,0,,0,,0
2018102808,2018-10-28,1,10,30,IND,OAK,3,1,56,,1,,0,(10:30) 25-M.MACK LEFT END TO OAK 40 FOR 4 YARDS (55-M.LEE).,0,,,2018,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,44,OPP,0,,0,,0
2018110401,2018-11-04,4,6,22,BUF,CHI,2,1,99,,0,,0,(6:22) 25-L.MCCOY UP THE MIDDLE TO CHI 1 FOR NO GAIN (90-J.BULLARD).,0,,,2018,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,1,OPP,0,,0,,0
2018110405,2018-11-04,1,14,56,MIN,DET,1,10,35,,0,,0,(14:56) 25-L.MURRAY RIGHT END TO MIN 40 FOR 5 YARDS (42-D.KENNARD).,0,,,2018,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,35,OWN,0,,0,,0
2018110408,2018-11-04,4,1,43,LAC,SEA,2,7,50,,0,,0,"(1:43) 28-M.GORDON LEFT TACKLE TO 50 FOR NO GAIN (98-S.STEPHEN, 54-B.WAGNER).",0,,,2018,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,50,OPP,0,,0,,0
2018110410,2018-11-04,1,12,19,NE,GB,3,1,90,,1,,0,(12:19) (NO HUDDLE) 12-T.BRADY UP THE MIDDLE TO GB 8 FOR 2 YARDS (50-B.MARTINEZ).,0,,,2018,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,10,OPP,0,,0,,0
2018110500,2018-11-05,1,1,52,TEN,DAL,2,4,43,,0,,0,(1:52) 33-D.LEWIS UP THE MIDDLE TO TEN 43 FOR NO GAIN (99-A.WOODS).,0,,,2018,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,43,OWN,0,,0,,0
2018110500,2018-11-05,2,15,0,TEN,DAL,1,10,55,,0,,0,(15:00) 84-C.DAVIS RIGHT END TO DAL 41 FOR 4 YARDS (24-C.AWUZIE; 90-D.LAWRENCE).,0,,,2018,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,45,OPP,0,,0,,0
2018110500,2018-11-05,2,13,38,TEN,DAL,3,1,64,,1,,0,(13:38) (SHOTGUN) 8-M.MARIOTA RIGHT TACKLE TO DAL 24 FOR 12 YARDS (38-J.HEATH).,0,,,2018,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,36,OPP,0,,0,,0
2018110500,2018-11-05,2,12,57,TEN,DAL,1,10,76,,0,,0,(12:57) (SHOTGUN) 33-D.LEWIS LEFT TACKLE TO DAL 23 FOR 1 YARD (54-J.SMITH).,0,,,2018,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,24,OPP,0,,0,,0
2018110500,2018-11-05,2,12,21,TEN,DAL,2,9,77,,1,,0,(12:21) 33-D.LEWIS LEFT END TO DAL 11 FOR 12 YARDS (54-J.SMITH).,0,,,2018,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,23,OPP,0,,0,,0
2018110500,2018-11-05,2,11,0,TEN,DAL,2,5,94,,0,,0,(11:00) 33-D.LEWIS RIGHT END TO DAL 2 FOR 4 YARDS (24-C.AWUZIE).,0,,,2018,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,6,OPP,0,,0,,0
2018110500,2018-11-05,2,2,22,DAL,TEN,3,1,41,,1,,0,(2:22) 21-E.ELLIOTT UP THE MIDDLE TO DAL 42 FOR 1 YARD (24-K.VACCARO).,0,,,2018,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,41,OWN,0,,0,,0
2018111105,2018-11-11,4,3,30,ARI,KC,2,10,65,,0,,0,"(3:30) (SHOTGUN) 29-C.EDMONDS UP THE MIDDLE TO KC 23 FOR 12 YARDS (21-E.MURRAY). PENALTY ON ARI-68-J.VUJNOVICH, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT KC 35 - NO PLAY.",0,,,2018,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,CENTER,35,OPP,1,ARI,1,OFFENSIVE HOLDING,10
