Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,PlayType
3,8,32,1,10,25,0,SHOTGUN,OWN,RUSH
3,7,15,2,10,46,1,UNDER CENTER,OWN,RUSH
3,4,8,1,10,68,0,SHOTGUN,OPP,RUSH
3,1,20,1,10,37,1,UNDER CENTER,OWN,RUSH
1,7,43,3,1,99,1,UNDER CENTER,OPP,RUSH
3,0,15,3,7,93,0,SHOTGUN,OPP,RUSH
1,10,30,3,1,56,1,UNDER CENTER,OPP,RUSH
4,6,22,2,1,99,0,UNDER CENTER,OPP,RUSH
1,14,56,1,10,35,0,UNDER CENTER,OWN,RUSH
4,1,43,2,7,50,0,UNDER CENTER,OPP,RUSH
1,12,19,3,1,90,1,NO HUDDLE,OPP,RUSH
1,1,52,2,4,43,0,UNDER CENTER,OWN,RUSH
2,15,0,1,10,55,0,UNDER CENTER,OPP,RUSH
2,13,38,3,1,64,1,SHOTGUN,OPP,RUSH
2,12,57,1,10,76,0,SHOTGUN,OPP,RUSH
2,12,21,2,9,77,1,UNDER CENTER,OPP,RUSH
2,11,0,2,5,94,0,UNDER CENTER,OPP,RUSH
2,2,22,3,1,41,1,UNDER CENTER,OWN,RUSH
4,3,30,2,10,65,0,SHOTGUN,OPP,RUSH
1,7,28,2,8,3,0,UNDER CENTER,OWN,RUSH
3,10,49,1,10,89,0,NO HUDDLE SHOTGUN,OPP,RUSH
3,9,36,1,10,25,1,UNDER CENTER,OWN,RUSH
3,8,59,1,10,40,1,UNDER CENTER,OWN,RUSH
3,8,38,1,10,75,0,UNDER CENTER,OPP,RUSH
4,11,34,1,10,26,0,SHOTGUN,OWN,RUSH
1,9,56,1,10,62,0,UNDER CENTER,OPP,RUSH
3,6,55,1,10,35,0,UNDER CENTER,OWN,RUSH
3,5,22,1,10,21,0,SHOTGUN,OWN,RUSH
3,4,26,2,19,12,0,SHOTGUN,OWN,RUSH
1,14,22,2,2,32,0,NO HUDDLE,OWN,RUSH
1,14,26,2,2,33,0,UNDER CENTER,OWN,RUSH
1,13,41,3,1,34,0,UNDER CENTER,OWN,RUSH
3,3,7,2,3,20,0,UNDER CENTER,OWN,RUSH
3,2,24,3,1,22,1,SHOTGUN,OWN,RUSH
3,8,39,1,10,75,0,UNDER CENTER,OPP,RUSH
3,9,27,2,6,82,1,UNDER CENTER,OPP,RUSH
3,8,43,1,10,89,0,UNDER CENTER,OPP,RUSH
3,7,19,1,10,46,0,SHOTGUN,OWN,RUSH
3,7,2,2,9,47,0,SHOTGUN,OWN,RUSH
3,5,55,1,10,59,0,UNDER CENTER,OPP,RUSH
3,5,11,2,6,63,0,SHOTGUN,OPP,RUSH
3,2,53,1,4,96,0,UNDER CENTER,OPP,RUSH
3,2,12,2,2,98,0,UNDER CENTER,OPP,RUSH
4,1,7,1,10,20,0,UNDER CENTER,OWN,RUSH
3,7,32,1,10,19,0,UNDER CENTER,OWN,RUSH
4,4,20,1,10,6,0,UNDER CENTER,OWN,RUSH
3,2,32,1,10,45,0,UNDER CENTER,OWN,RUSH
1,8,55,1,10,51,0,UNDER CENTER,OPP,RUSH
1,11,25,2,4,31,0,UNDER CENTER,OWN,RUSH
1,10,8,1,10,31,0,UNDER CENTER,OWN,RUSH
4,5,7,1,10,55,1,SHOTGUN,OPP,RUSH
4,5,21,1,10,75,0,SHOTGUN,OPP,RUSH
3,6,15,1,10,73,0,UNDER CENTER,OPP,RUSH
3,5,18,1,10,25,0,UNDER CENTER,OWN,RUSH
3,4,16,3,1,34,0,NO HUDDLE SHOTGUN,OWN,RUSH
3,2,57,1,10,68,1,UNDER CENTER,OPP,RUSH
4,10,1,1,10,22,1,UNDER CENTER,OWN,RUSH
4,7,57,1,10,54,0,SHOTGUN,OPP,RUSH
4,14,26,1,10,49,0,UNDER CENTER,OWN,RUSH
4,13,43,2,8,51,0,UNDER CENTER,OPP,RUSH
1,11,49,1,10,67,0,UNDER CENTER,OPP,RUSH
1,11,9,2,6,71,1,UNDER CENTER,OPP,RUSH
3,11,19,1,10,28,0,UNDER CENTER,OWN,RUSH
3,10,51,1,20,18,0,SHOTGUN,OWN,RUSH
1,10,39,1,10,79,0,UNDER CENTER,OPP,RUSH
3,0,42,1,10,83,0,SHOTGUN,OPP,RUSH
2,7,30,4,1,99,0,UNDER CENTER,OPP,RUSH
1,14,10,2,1,32,1,SHOTGUN,OWN,RUSH
1,6,28,2,4,33,1,UNDER CENTER,OWN,RUSH
1,5,57,1,10,37,1,UNDER CENTER,OWN,RUSH
1,5,27,1,10,50,0,UNDER CENTER,OPP,RUSH
1,4,11,1,10,63,0,NO HUDDLE,OPP,RUSH
4,8,8,1,10,59,0,UNDER CENTER,OPP,RUSH
4,6,54,3,1,68,1,UNDER CENTER,OPP,RUSH
4,6,34,1,10,70,0,UNDER CENTER,OPP,RUSH
4,5,9,2,5,51,0,SHOTGUN,OPP,RUSH
2,0,57,1,10,13,1,SHOTGUN,OWN,RUSH
2,0,4,3,8,25,0,SHOTGUN,OWN,RUSH
3,4,55,2,3,86,0,UNDER CENTER,OPP,RUSH
1,2,53,3,1,89,1,SHOTGUN,OPP,RUSH
4,2,55,3,10,8,0,SHOTGUN,OWN,RUSH
3,2,33,2,10,25,1,UNDER CENTER,OWN,RUSH
3,2,9,1,10,36,0,SHOTGUN,OWN,RUSH
4,4,16,1,10,41,0,UNDER CENTER,OWN,RUSH
4,4,12,2,10,41,0,UNDER CENTER,OWN,RUSH
1,8,51,1,10,19,0,SHOTGUN,OWN,RUSH
4,8,30,3,8,60,1,UNDER CENTER,OPP,RUSH
4,7,44,1,10,77,1,UNDER CENTER,OPP,RUSH
4,6,38,1,15,83,0,UNDER CENTER,OPP,RUSH
2,3,3,1,10,19,0,UNDER CENTER,OWN,RUSH
3,3,36,2,8,62,1,UNDER CENTER,OPP,RUSH
1,0,20,1,10,53,0,UNDER CENTER,OPP,RUSH
4,6,16,2,3,57,0,SHOTGUN,OPP,RUSH
4,4,59,1,10,61,1,UNDER CENTER,OPP,RUSH
2,14,2,2,7,60,0,SHOTGUN,OPP,RUSH
1,3,46,2,3,37,0,UNDER CENTER,OWN,RUSH
2,6,25,1,10,36,0,UNDER CENTER,OWN,RUSH
4,4,52,1,10,28,0,UNDER CENTER,OWN,RUSH
1,14,58,1,10,25,0,UNDER CENTER,OWN,RUSH
1,14,24,2,6,29,0,UNDER CENTER,OWN,RUSH
1,13,49,3,1,34,1,UNDER CENTER,OWN,RUSH
1,13,5,2,10,63,0,UNDER CENTER,OPP,RUSH
1,11,36,1,11,1,0,UNDER CENTER,OWN,RUSH
4,11,25,2,10,37,1,UNDER CENTER,OWN,RUSH
1,10,18,1,10,40,0,SHOTGUN,OWN,RUSH
3,11,35,2,10,78,0,SHOTGUN,OPP,RUSH
4,13,28,1,10,36,0,UNDER CENTER,OWN,RUSH
4,11,2,2,3,65,0,SHOTGUN,OPP,RUSH
4,10,21,3,2,66,0,UNDER CENTER,OPP,RUSH
4,8,58,1,10,81,1,UNDER CENTER,OPP,RUSH
1,1,35,3,9,38,0,SHOTGUN,OWN,RUSH
2,13,31,1,10,11,0,UNDER CENTER,OWN,RUSH
1,6,51,1,10,62,0,SHOTGUN,OPP,RUSH
1,6,10,1,10,69,0,SHOTGUN,OPP,RUSH
1,4,52,3,4,75,1,SHOTGUN,OPP,RUSH
1,4,41,1,10,20,0,SHOTGUN,OWN,RUSH
2,8,51,1,10,84,0,SHOTGUN,OPP,RUSH
2,6,55,3,16,78,0,SHOTGUN,OPP,RUSH
2,2,0,2,2,98,0,SHOTGUN,OPP,RUSH
2,1,53,3,1,99,1,UNDER CENTER,OPP,RUSH
2,2,38,1,2,98,0,UNDER CENTER,OPP,RUSH
3,5,14,4,1,91,0,UNDER CENTER,OPP,RUSH
3,5,5,1,10,9,0,UNDER CENTER,OWN,RUSH
3,3,57,1,10,20,1,UNDER CENTER,OWN,RUSH
3,3,18,1,10,34,0,UNDER CENTER,OWN,RUSH
4,3,42,1,10,88,0,UNDER CENTER,OPP,RUSH
4,6,48,1,10,48,0,UNDER CENTER,OWN,RUSH
2,1,20,2,1,63,1,SHOTGUN,OPP,RUSH
1,4,8,2,10,55,0,UNDER CENTER,OPP,RUSH
2,3,25,1,10,79,0,UNDER CENTER,OPP,RUSH
1,14,22,2,5,30,1,UNDER CENTER,OWN,RUSH
1,13,46,1,10,41,1,UNDER CENTER,OWN,RUSH
1,10,51,1,10,2,0,SHOTGUN,OWN,RUSH
1,4,50,1,10,31,0,SHOTGUN,OWN,RUSH
1,4,13,2,9,32,0,SHOTGUN,OWN,RUSH
1,2,24,2,17,36,0,SHOTGUN,OWN,RUSH
1,0,26,2,10,20,0,SHOTGUN,OWN,RUSH
2,13,37,2,9,41,0,SHOTGUN,OWN,RUSH
2,6,9,1,10,25,0,UNDER CENTER,OWN,RUSH
2,4,59,1,10,49,0,UNDER CENTER,OWN,RUSH
3,14,21,2,2,33,1,SHOTGUN,OWN,RUSH
3,13,39,1,10,41,0,SHOTGUN,OWN,RUSH
3,12,25,1,10,20,0,SHOTGUN,OWN,RUSH
3,8,49,3,1,46,1,UNDER CENTER,OWN,RUSH
3,4,37,1,10,40,0,UNDER CENTER,OWN,RUSH
3,3,57,2,10,40,0,UNDER CENTER,OWN,RUSH
3,2,32,1,10,16,0,UNDER CENTER,OWN,RUSH
3,1,19,1,10,26,0,UNDER CENTER,OWN,RUSH
4,12,58,1,10,4,0,UNDER CENTER,OWN,RUSH
4,12,16,2,6,8,0,SHOTGUN,OWN,RUSH
4,11,31,3,1,13,1,UNDER CENTER,OWN,RUSH
4,9,48,1,10,25,0,SHOTGUN,OWN,RUSH
4,9,13,2,3,32,0,SHOTGUN,OWN,RUSH
4,7,33,1,10,33,0,SHOTGUN,OWN,RUSH
1,8,38,1,10,32,0,SHOTGUN,OWN,RUSH
1,7,13,1,10,25,0,UNDER CENTER,OWN,RUSH
1,5,31,1,10,34,0,UNDER CENTER,OWN,RUSH
1,1,32,1,10,25,0,UNDER CENTER,OWN,RUSH
1,0,28,2,24,11,0,SHOTGUN,OWN,RUSH
2,15,0,3,22,13,0,SHOTGUN,OWN,RUSH
2,12,39,2,6,29,0,SHOTGUN,OWN,RUSH
2,11,11,2,10,30,0,UNDER CENTER,OWN,RUSH
2,10,23,1,10,40,0,UNDER CENTER,OWN,RUSH
2,6,52,1,10,16,0,UNDER CENTER,OWN,RUSH
2,4,10,1,10,25,0,SHOTGUN,OWN,RUSH
3,15,0,1,10,25,1,UNDER CENTER,OWN,RUSH
3,14,33,1,10,37,0,NO HUDDLE SHOTGUN,OWN,RUSH
3,11,22,1,10,25,0,UNDER CENTER,OWN,RUSH
3,7,46,1,10,48,1,NO HUDDLE SHOTGUN,OWN,RUSH
3,2,38,1,10,25,0,SHOTGUN,OWN,RUSH
3,2,10,2,6,29,0,SHOTGUN,OWN,RUSH
3,1,28,3,6,29,1,SHOTGUN,OWN,RUSH
3,0,44,1,10,36,0,UNDER CENTER,OWN,RUSH
4,12,41,2,8,35,0,UNDER CENTER,OWN,RUSH
4,11,55,1,10,11,1,UNDER CENTER,OWN,RUSH
4,11,15,1,10,26,0,UNDER CENTER,OWN,RUSH
4,10,40,2,9,27,1,SHOTGUN,OWN,RUSH
4,9,58,1,10,37,0,UNDER CENTER,OWN,RUSH
4,9,17,2,2,45,1,UNDER CENTER,OWN,RUSH
4,8,30,1,10,48,0,UNDER CENTER,OWN,RUSH
4,3,37,2,10,49,0,NO HUDDLE SHOTGUN,OWN,RUSH
4,2,20,2,11,9,0,UNDER CENTER,OWN,RUSH
4,2,0,3,4,16,0,SHOTGUN,OWN,RUSH
4,1,28,1,10,29,0,SHOTGUN,OWN,RUSH
1,15,0,1,10,25,0,UNDER CENTER,OWN,RUSH
1,10,51,2,10,48,0,UNDER CENTER,OWN,RUSH
1,9,29,1,10,32,1,UNDER CENTER,OWN,RUSH
1,8,48,1,10,42,0,UNDER CENTER,OWN,RUSH
1,5,22,1,10,10,0,UNDER CENTER,OWN,RUSH
1,4,52,2,7,13,0,UNDER CENTER,OWN,RUSH
1,4,18,3,7,13,1,SHOTGUN,OWN,RUSH
1,3,43,1,10,26,0,UNDER CENTER,OWN,RUSH
1,1,55,1,10,12,0,UNDER CENTER,OWN,RUSH
1,1,16,2,6,16,0,UNDER CENTER,OWN,RUSH
2,11,16,1,10,25,0,SHOTGUN,OWN,RUSH
2,5,50,1,10,43,0,SHOTGUN,OWN,RUSH
2,5,6,2,6,47,1,SHOTGUN,OWN,RUSH
2,3,14,3,17,47,0,SHOTGUN,OWN,RUSH
2,1,58,1,10,35,1,SHOTGUN,OWN,RUSH
2,1,25,1,10,47,0,NO HUDDLE SHOTGUN,OWN,RUSH
3,14,16,2,20,4,0,UNDER CENTER,OWN,RUSH
3,13,50,1,10,13,0,UNDER CENTER,OWN,RUSH
3,13,42,1,10,31,0,UNDER CENTER,OWN,RUSH
3,12,58,2,1,40,1,UNDER CENTER,OWN,RUSH
3,8,4,2,2,16,1,UNDER CENTER,OWN,RUSH
3,7,31,2,10,21,0,SHOTGUN,OWN,RUSH
3,5,16,2,10,11,0,UNDER CENTER,OWN,RUSH
3,3,27,1,10,14,0,UNDER CENTER,OWN,RUSH
3,2,49,2,6,18,0,UNDER CENTER,OWN,RUSH
3,1,33,1,10,26,0,NO HUDDLE SHOTGUN,OWN,RUSH
3,0,54,2,5,31,0,SHOTGUN,OWN,RUSH
4,10,50,1,10,14,0,UNDER CENTER,OWN,RUSH
4,10,18,1,16,8,0,UNDER CENTER,OWN,RUSH
4,9,41,2,15,9,0,SHOTGUN,OWN,RUSH
4,7,44,1,10,18,0,UNDER CENTER,OWN,RUSH
4,5,14,1,10,5,0,UNDER CENTER,OWN,RUSH
4,4,39,2,3,12,0,UNDER CENTER,OWN,RUSH
4,3,53,1,10,17,0,UNDER CENTER,OWN,RUSH
4,3,13,2,9,18,0,UNDER CENTER,OWN,RUSH
4,3,8,3,9,18,0,SHOTGUN,OWN,RUSH
4,1,29,1,10,29,0,SHOTGUN,OWN,RUSH
5,10,0,1,10,25,0,SHOTGUN,OWN,RUSH
5,8,43,1,10,17,0,SHOTGUN,OWN,RUSH
5,5,29,1,10,19,0,SHOTGUN,OWN,RUSH
1,14,53,1,10,30,0,UNDER CENTER,OWN,RUSH
1,13,10,1,10,7,0,UNDER CENTER,OWN,RUSH
1,11,55,1,10,40,0,UNDER CENTER,OWN,RUSH
1,7,45,2,7,28,1,UNDER CENTER,OWN,RUSH
1,6,40,2,4,46,0,UNDER CENTER,OWN,RUSH
2,15,0,2,3,49,1,UNDER CENTER,OWN,RUSH
2,12,2,1,10,25,0,UNDER CENTER,OWN,RUSH
2,9,24,1,10,22,0,SHOTGUN,OWN,RUSH
2,7,44,1,20,30,0,SHOTGUN,OWN,RUSH
2,2,40,2,6,29,0,NO HUDDLE SHOTGUN,OWN,RUSH
2,2,19,3,1,34,1,NO HUDDLE SHOTGUN,OWN,RUSH
2,0,41,3,1,45,1,SHOTGUN,OWN,RUSH
3,14,54,2,10,25,0,UNDER CENTER,OWN,RUSH
3,13,32,1,15,28,0,UNDER CENTER,OWN,RUSH
3,5,42,1,10,47,0,UNDER CENTER,OWN,RUSH
3,4,9,1,10,25,0,UNDER CENTER,OWN,RUSH
3,2,58,1,10,49,0,UNDER CENTER,OWN,RUSH
3,0,12,1,10,45,1,UNDER CENTER,OWN,RUSH
4,10,41,2,2,33,0,NO HUDDLE SHOTGUN,OWN,RUSH
4,9,53,1,10,21,0,UNDER CENTER,OWN,RUSH
4,8,34,1,10,41,0,UNDER CENTER,OWN,RUSH
4,7,59,2,7,44,0,UNDER CENTER,OWN,RUSH
4,2,58,2,6,41,0,NO HUDDLE SHOTGUN,OWN,RUSH
1,14,52,1,10,35,0,SHOTGUN,OWN,RUSH
1,13,47,1,10,45,0,NO HUDDLE,OWN,RUSH
1,13,3,2,9,46,0,SHOTGUN,OWN,RUSH
1,10,13,1,10,22,1,SHOTGUN,OWN,RUSH
1,8,45,2,8,34,0,UNDER CENTER,OWN,RUSH
1,6,22,1,10,47,0,UNDER CENTER,OWN,RUSH
1,1,42,1,5,7,0,UNDER CENTER,OWN,RUSH
2,14,36,1,10,34,1,NO HUDDLE SHOTGUN,OWN,RUSH
2,11,21,1,10,25,0,UNDER CENTER,OWN,RUSH
2,9,36,1,10,38,0,UNDER CENTER,OWN,RUSH
2,9,7,2,9,39,0,NO HUDDLE SHOTGUN,OWN,RUSH
2,8,11,1,10,15,0,SHOTGUN,OWN,RUSH
2,7,43,2,2,23,0,UNDER CENTER,OWN,RUSH
2,6,45,1,10,26,1,NO HUDDLE,OWN,RUSH
2,6,10,1,10,42,0,NO HUDDLE SHOTGUN,OWN,RUSH
2,1,52,2,10,15,0,SHOTGUN,OWN,RUSH
2,1,9,3,1,24,1,UNDER CENTER,OWN,RUSH
2,0,49,1,23,13,0,UNDER CENTER,OWN,RUSH
2,0,40,2,19,17,0,SHOTGUN,OWN,RUSH
2,0,35,3,13,23,0,SHOTGUN,OWN,RUSH
3,15,0,1,10,25,0,UNDER CENTER,OWN,RUSH
3,13,32,1,10,49,0,UNDER CENTER,OWN,RUSH
3,12,5,1,10,10,0,UNDER CENTER,OWN,RUSH
3,11,29,2,5,15,0,NO HUDDLE,OWN,RUSH
3,10,50,3,1,19,0,UNDER CENTER,OWN,RUSH
3,3,15,1,10,38,0,UNDER CENTER,OWN,RUSH
3,2,32,2,8,40,1,UNDER CENTER,OWN,RUSH
4,13,23,1,10,38,0,UNDER CENTER,OWN,RUSH
4,11,39,1,10,11,0,SHOTGUN,OWN,RUSH
4,8,47,1,10,43,0,UNDER CENTER,OWN,RUSH
1,14,21,2,1,34,1,UNDER CENTER,OWN,RUSH
1,13,7,1,10,48,0,UNDER CENTER,OWN,RUSH
1,8,47,1,10,19,0,UNDER CENTER,OWN,RUSH
1,8,12,2,6,23,0,SHOTGUN,OWN,RUSH
1,7,17,1,10,30,0,SHOTGUN,OWN,RUSH
1,3,56,1,10,25,0,UNDER CENTER,OWN,RUSH
1,2,45,2,29,6,0,SHOTGUN,OWN,RUSH
1,1,58,3,24,11,0,SHOTGUN,OWN,RUSH
1,1,11,1,10,47,0,UNDER CENTER,OWN,RUSH
2,12,39,1,10,77,0,UNDER CENTER,OPP,RUSH
2,11,4,1,10,40,0,UNDER CENTER,OWN,RUSH
2,10,33,2,2,48,1,UNDER CENTER,OWN,RUSH
2,10,22,1,10,29,1,UNDER CENTER,OWN,RUSH
2,9,44,1,10,43,0,UNDER CENTER,OWN,RUSH
2,9,8,2,6,47,0,UNDER CENTER,OWN,RUSH
2,2,18,1,10,2,0,UNDER CENTER,OWN,RUSH
3,14,56,2,10,25,0,UNDER CENTER,OWN,RUSH
3,13,16,1,10,44,0,UNDER CENTER,OWN,RUSH
3,11,16,1,10,18,0,UNDER CENTER,OWN,RUSH
3,8,35,2,10,36,0,SHOTGUN,OWN,RUSH
3,4,22,1,10,25,1,UNDER CENTER,OWN,RUSH
3,0,27,2,10,25,0,UNDER CENTER,OWN,RUSH
4,13,43,1,10,14,0,UNDER CENTER,OWN,RUSH
4,8,9,1,10,25,0,UNDER CENTER,OWN,RUSH
4,5,46,1,10,18,0,UNDER CENTER,OWN,RUSH
4,5,12,2,1,27,1,UNDER CENTER,OWN,RUSH
4,4,29,1,10,32,0,UNDER CENTER,OWN,RUSH
4,3,45,2,6,36,0,UNDER CENTER,OWN,RUSH
4,2,54,1,10,46,0,UNDER CENTER,OWN,RUSH
4,2,10,2,9,47,0,UNDER CENTER,OWN,RUSH
1,15,0,1,10,25,0,UNDER CENTER,OWN,RUSH
1,14,25,2,4,31,0,SHOTGUN,OWN,RUSH
1,13,49,3,3,32,0,SHOTGUN,OWN,RUSH
1,11,44,1,10,27,0,SHOTGUN,OWN,RUSH
1,9,5,1,10,44,0,UNDER CENTER,OWN,RUSH
1,7,44,2,10,9,1,UNDER CENTER,OWN,RUSH
1,5,39,1,10,6,0,UNDER CENTER,OWN,RUSH
1,5,2,2,4,12,0,UNDER CENTER,OWN,RUSH
1,4,25,3,1,15,0,UNDER CENTER,OWN,RUSH
1,0,29,2,10,66,0,UNDER CENTER,OPP,RUSH
2,14,37,4,1,75,1,UNDER CENTER,OPP,RUSH
2,13,55,1,10,77,0,UNDER CENTER,OPP,RUSH
2,13,23,2,9,78,1,UNDER CENTER,OPP,RUSH
2,12,32,1,10,37,0,SHOTGUN,OWN,RUSH
2,7,9,1,10,34,0,SHOTGUN,OWN,RUSH
2,5,30,1,10,20,0,UNDER CENTER,OWN,RUSH
2,4,24,1,10,34,0,SHOTGUN,OWN,RUSH
2,3,55,2,4,40,0,NO HUDDLE SHOTGUN,OWN,RUSH
2,2,36,1,10,45,0,SHOTGUN,OWN,RUSH
2,1,52,2,23,32,0,SHOTGUN,OWN,RUSH
2,1,28,1,10,22,0,UNDER CENTER,OWN,RUSH
2,1,8,2,2,30,1,NO HUDDLE,OWN,RUSH
3,14,56,1,10,28,0,SHOTGUN,OWN,RUSH
3,12,54,1,10,21,0,UNDER CENTER,OWN,RUSH
3,9,52,1,10,17,0,UNDER CENTER,OWN,RUSH
3,9,8,2,8,19,0,SHOTGUN,OWN,RUSH
3,5,57,1,10,32,0,SHOTGUN,OWN,RUSH
3,4,57,1,10,43,1,UNDER CENTER,OWN,RUSH
3,1,52,1,10,25,1,UNDER CENTER,OWN,RUSH
4,10,21,3,14,83,0,UNDER CENTER,OPP,RUSH
4,9,23,2,1,40,1,NO HUDDLE SHOTGUN,OWN,RUSH
4,7,9,1,10,12,0,UNDER CENTER,OWN,RUSH
4,5,58,3,13,9,0,SHOTGUN,OWN,RUSH
4,5,13,2,10,34,0,NO HUDDLE,OWN,RUSH
4,2,8,1,10,25,0,UNDER CENTER,OWN,RUSH
4,1,49,1,10,37,0,UNDER CENTER,OWN,RUSH
4,1,44,2,9,38,0,UNDER CENTER,OWN,RUSH
4,1,39,3,2,45,0,UNDER CENTER,OWN,RUSH
1,11,4,2,3,39,0,UNDER CENTER,OWN,RUSH
1,10,39,3,1,41,1,UNDER CENTER,OWN,RUSH
1,9,41,1,10,25,0,UNDER CENTER,OWN,RUSH
1,9,8,2,5,30,0,SHOTGUN,OWN,RUSH
1,4,25,1,10,25,1,UNDER CENTER,OWN,RUSH
1,3,44,1,10,48,1,SHOTGUN,OWN,RUSH
1,1,15,2,1,35,1,UNDER CENTER,OWN,RUSH
2,14,13,1,10,41,0,SHOTGUN,OWN,RUSH
2,13,38,2,4,47,0,UNDER CENTER,OWN,RUSH
2,9,42,1,10,22,0,UNDER CENTER,OWN,RUSH
2,4,38,1,10,32,0,UNDER CENTER,OWN,RUSH
2,0,44,1,20,15,0,SHOTGUN,OWN,RUSH
3,14,23,1,10,35,0,UNDER CENTER,OWN,RUSH
3,11,24,1,10,25,0,UNDER CENTER,OWN,RUSH
3,9,13,1,10,25,0,UNDER CENTER,OWN,RUSH
3,4,35,1,10,46,0,UNDER CENTER,OWN,RUSH
3,2,58,1,10,25,0,SHOTGUN,OWN,RUSH
3,0,26,1,10,35,0,UNDER CENTER,OWN,RUSH
4,13,30,2,10,48,0,SHOTGUN,OWN,RUSH
4,8,51,1,10,25,0,UNDER CENTER,OWN,RUSH
4,8,7,2,6,29,0,UNDER CENTER,OWN,RUSH
4,3,31,1,10,25,0,UNDER CENTER,OWN,RUSH
4,3,27,2,14,21,0,UNDER CENTER,OWN,RUSH
1,14,55,1,10,20,0,UNDER CENTER,OWN,RUSH
1,9,49,1,17,7,0,SHOTGUN,OWN,RUSH
1,8,41,2,20,4,0,SHOTGUN,OWN,RUSH
1,5,40,1,10,37,1,UNDER CENTER,OWN,RUSH
1,0,23,1,10,25,0,UNDER CENTER,OWN,RUSH
2,15,0,2,3,32,1,SHOTGUN,OWN,RUSH
2,14,25,1,10,38,0,UNDER CENTER,OWN,RUSH
2,2,42,1,10,25,0,SHOTGUN,OWN,RUSH
3,15,0,1,10,25,0,UNDER CENTER,OWN,RUSH
3,14,42,2,2,33,0,NO HUDDLE,OWN,RUSH
3,13,49,2,10,38,0,SHOTGUN,OWN,RUSH
3,9,18,1,10,25,0,SHOTGUN,OWN,RUSH
3,8,41,2,9,26,0,SHOTGUN,OWN,RUSH
3,4,58,1,10,11,0,SHOTGUN,OWN,RUSH
3,3,20,2,10,8,1,SHOTGUN,OWN,RUSH
