Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam
1,9,29,2,2,33,0,SHOTGUN,OWN,CLE,OAK
1,9,9,2,12,23,0,SHOTGUN,OWN,CLE,OAK
1,8,25,1,20,47,0,UNDER CENTER,OWN,CLE,OAK
1,8,21,2,20,47,0,UNDER CENTER,OWN,CLE,OAK
1,8,14,3,20,47,0,SHOTGUN,OWN,CLE,OAK
1,2,0,1,10,25,0,UNDER CENTER,OWN,OAK,CLE
1,1,55,2,10,25,1,UNDER CENTER,OWN,OAK,CLE
2,15,0,3,1,48,1,SHOTGUN,OWN,OAK,CLE
2,9,0,1,10,25,0,SHOTGUN,OWN,OAK,CLE
2,8,25,2,4,31,1,SHOTGUN,OWN,OAK,CLE
2,7,43,1,10,47,0,UNDER CENTER,OWN,OAK,CLE
2,4,24,1,10,22,0,SHOTGUN,OWN,CLE,OAK
2,3,34,3,9,23,1,SHOTGUN,OWN,CLE,OAK
2,2,46,1,10,32,0,NO HUDDLE,OWN,CLE,OAK
2,2,39,2,10,32,0,SHOTGUN,OWN,CLE,OAK
2,1,53,1,10,18,1,SHOTGUN,OWN,OAK,CLE
2,1,26,1,10,34,1,NO HUDDLE SHOTGUN,OWN,OAK,CLE
3,14,22,2,8,27,1,SHOTGUN,OWN,CLE,OAK
3,13,8,2,7,38,0,SHOTGUN,OWN,CLE,OAK
3,12,38,3,1,44,1,SHOTGUN,OWN,CLE,OAK
3,8,47,2,12,23,1,SHOTGUN,OWN,OAK,CLE
3,8,32,1,10,49,1,UNDER CENTER,OWN,OAK,CLE
4,7,20,1,10,25,1,UNDER CENTER,OWN,CLE,BAL
3,7,26,1,10,25,0,UNDER CENTER,OWN,OAK,CLE
3,6,47,1,10,39,0,NO HUDDLE,OWN,OAK,CLE
3,6,2,3,9,40,0,SHOTGUN,OWN,OAK,CLE
3,5,28,1,10,19,0,SHOTGUN,OWN,CLE,OAK
3,4,24,3,11,18,0,SHOTGUN,OWN,CLE,OAK
3,4,9,1,10,42,0,SHOTGUN,OWN,OAK,CLE
3,3,46,3,5,47,0,SHOTGUN,OWN,OAK,CLE
3,1,40,3,9,21,0,SHOTGUN,OWN,CLE,OAK
3,1,21,1,10,31,0,SHOTGUN,OWN,OAK,CLE
4,14,8,1,10,12,0,SHOTGUN,OWN,CLE,OAK
4,12,46,1,10,25,0,SHOTGUN,OWN,CLE,OAK
4,12,41,2,10,25,0,NO HUDDLE SHOTGUN,OWN,CLE,OAK
4,12,38,3,10,25,0,SHOTGUN,OWN,CLE,OAK
4,10,8,2,5,28,0,UNDER CENTER,OWN,CLE,OAK
4,10,4,3,5,28,1,SHOTGUN,OWN,CLE,OAK
4,9,28,1,10,39,0,SHOTGUN,OWN,CLE,OAK
4,9,6,2,9,40,1,UNDER CENTER,OWN,CLE,OAK
4,4,20,1,10,25,0,SHOTGUN,OWN,OAK,CLE
4,4,16,2,10,25,1,SHOTGUN,OWN,OAK,CLE
4,1,28,1,10,47,0,SHOTGUN,OWN,OAK,CLE
4,0,30,1,10,25,1,SHOTGUN,OWN,CLE,OAK
4,0,23,1,10,36,1,SHOTGUN,OWN,CLE,OAK
5,10,0,1,10,25,0,SHOTGUN,OWN,OAK,CLE
5,8,49,3,6,29,1,SHOTGUN,OWN,OAK,CLE
5,6,10,1,10,40,0,SHOTGUN,OWN,CLE,OAK
5,6,6,2,10,40,0,SHOTGUN,OWN,CLE,OAK
